,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
3125, Other,Power,Other,,Other,Other,,22',"Ashville, NY",Harris,,Other,2013,Harris,Cruiser 220,Request,2013
3126," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,,,22',"Mamaroneck, NY",Henry O,,Other,1996,Henry O,22 Center Console,"$10,900",1996
3127," Center Consoles, Sports Fishing Boats",Power,Gas,,Fiberglass,Modified Vee,10 year,22',Freeport,Sea Hunt,,Single Outboard,2016,Sea Hunt,Ultra 225,"$59,000",2016
3128, Deck Boats,Power,,,Fiberglass,,,22',"Hydeville, VT",Hurricane,,Other,2014,Hurricane,217 Sundeck,"$46,911",2014
3129, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,,22',"Middletown, PA",Hurricane,,Single Outboard,2016,Hurricane,SunDeck Sport 220 OB,Request,2016
3130," Unspecified, Other",Power,Gas,,Other,Other,,22',"Clifton Park, NY",Hurricane,,Other,2013,Hurricane,SunDeck 2200,"$39,500",2013
3131," Deck Boats, Ski and Fish",Power,Gas,,Fiberglass,Other,,22',"Middletown, PA",Hurricane,,Other,2016,Hurricane,FD 226 Cruise,Request,2016
3132, Deck Boats,Power,Other,,Fiberglass,Other,,22',"Milton, PA",Hurricane,,Other,1998,Hurricane,226R Funship,"$10,995",1998
3133, Deck Boats,Power,Gas,,Fiberglass,Other,,22',"Middletown, PA",Hurricane,,Other,2016,Hurricane,226re,Request,2016
3134, Deck Boats,Power,Gas,,Fiberglass,Other,,22',"Middletown, PA",Hurricane,,Other,2016,Hurricane,FD226REF,Request,2016
3135, Bowrider,Power,,,Fiberglass,,,22',"Elkton, MD",Hydra Sport,,Other,1997,Hydra Sport,220,"$7,000",1997
3136," Saltwater Fishing, Express Cruiser",Power,Gas,,Fiberglass,Deep Vee,10 year,22',"Westport, CT",Hydra-Sports,,Other,2007,Hydra-Sports,2200 VX,"$39,900",2007
3137," Center Consoles, Saltwater Fishing",Power,Gas,,Other,Other,,22',"Woodmere, NY",Key West,,Other,1999,Key West,2220 CC,"$18,500",1999
3138, Cuddy Cabin,Power,Gas,,Fiberglass,,,22',"Seaford, NY",KEYWEST,,Single Outboard,2004,KEYWEST,W/A Cuddy,"$20,990",2004
3139, Bowrider,Power,Gas,,Fiberglass,,,22',"Hesston, PA",Larson,,Other,1993,Larson,22 SEI,Request,1993
3140, Bowrider,Power,Gas,,Fiberglass,,,22',"Sodus Point, NY",Larson,,Other,1993,Larson,220 SEI,"$6,500",1993
3141, Cuddy Cabin,Power,Gas,,Fiberglass,Deep Vee,,22',"Lake Hopatcong, NJ",Larson,,Other,1993,Larson,220 Hampton,"$5,999",1993
3142," Bowrider, Aft Cabin",Power,Gas,,Fiberglass,,,22',"Green Brook, NJ",Larson,,Other,2001,Larson,226 SEI,"$16,995",2001
3143, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Duncannon, PA",Lowe,,Other,2016,Lowe,Infinity 230 Walk Thru,"$51,995",2016
3144, Deck Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Dallas, PA",Lowe,,Other,2017,Lowe,SD224 Sport Deck,Request,2017
3145, Deck Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Saugerties, NY",Lowe,,Other,2017,Lowe,SD224 Sport Deck,Request,2017
3146, Deck Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,SD224 Sport Deck,Request,2017
3147, Deck Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Fort Ann, NY",Lowe,,Other,2017,Lowe,SD224 Sport Deck,Request,2017
3148, Deck Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Rosedale, NY",Lowe,,Other,2017,Lowe,SD224 Sport Deck,Request,2017
3149, Deck Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Neptune, NJ",Lowe,,Other,2017,Lowe,SD224 Sport Deck,Request,2017
3150, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,Modified Vee,,22',"Lake Hopatcong, NJ",Malibu,,Single Inboard,2017,Malibu,22 MXZ,Request,2017
3151, Pontoon Boats,Power,Other,,Aluminum,Other,,22',"Schnectady, NY",Manitou,,Other,2017,Manitou,22 Aurora Angler LE Twin Tube,Request,2017
3152, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,,22',"Hawley, PA",STARCRAFT MARINE,,Single Outboard,2016,STARCRAFT MARINE,Coastal 2210 OB,"$39,995",2016
3153, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,,,22',"Brookfield, CT",Mastercraft,,Single Inboard,2017,Mastercraft,NXT 22,Request,2017
3154," Unspecified, Other",Power,Gas,,Other,Other,,22',"Plymouth, CT",Mastercraft,,Single Inboard,1994,Mastercraft,Maristar VRS 225,"$20,500",1994
3155," Unspecified, Other",Power,Gas,,Other,Other,,22',"Bethany, CT",Mastercraft,,Single Inboard,1999,Mastercraft,230 maristar,"$32,800",1999
3156, Bowrider,Power,,,Fiberglass,Other,,22',"Hewitt, NJ",Monterey,,Other,2008,Monterey,220 Explorer,"$31,000",2008
3157, Sports Fishing Boats,Power,Other,,Other,Other,,22',"North East, MD",NAUTIC STAR,,Other,2015,NAUTIC STAR,224 XTS,"$46,000",2015
3158, Center Consoles,Power,Gas,,Fiberglass,Deep Vee,,22',"Duncannon, PA",NauticStar,,Single Outboard,2018,NauticStar,22 XS,Request,2018
3159, Center Consoles,Power,Gas,,Composite,Modified Vee,,22',"Duncannon, PA",NauticStar,,Single Outboard,2017,NauticStar,22 XS,"$40,022",2017
3160, Center Consoles,Power,Gas,,Composite,Modified Vee,,22',"Duncannon, PA",NauticStar,,Single Outboard,2017,NauticStar,2302 Legacy,Request,2017
3161, Center Consoles,Power,Gas,,Composite,Modified Vee,,22',"Duncannon, PA",NauticStar,,Single Outboard,2017,NauticStar,2302 Legacy,"$44,094",2017
3162, Ski and Wakeboard Boats,Power,Other,,Fiberglass,Other,,22',"203-775-2253, CT",Nautique,,Other,2018,Nautique,GS22,"$139,633",2018
3163, Other,Sails,Gas,,Fiberglass,,,22',"Lake Wallenpaupack, Greentown, PA",O'Day,,Other,1984,O'Day,222,"$6,499",1984
3164, Pontoon Boats,Power,Gas,,Aluminum,,,22',"Elkton, MD",Tahoe Pontoon,,Single Outboard,2017,Tahoe Pontoon,LTZ Cruise,"$33,511",2017
3165, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Silver Springs, NY",Premier,,Single Outboard,2017,Premier,220 Gemini,"$32,995",2017
3166, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Silver Springs, NY",Premier,,Single Outboard,2017,Premier,220 Horizon,Request,2017
3167, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Silver Springs, NY",Premier,,Single Outboard,2017,Premier,220 Explorer,"$35,995",2017
3168," Unspecified, Other",Power,Other,,Other,Other,,22',"Lake Hopatcong, NJ",Premier,,Other,2013,Premier,220 SunSpree,"$18,995",2013
3169," Pontoon Boats, Passenger, Saltwater Fishing",Power,Gas,,Aluminum,Pontoon,,22',"Shelton, CT",Premier,,Single Outboard,2014,Premier,221 Gemini,"$20,000",2014
3170, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Silver Springs, NY",Premier,,Single Outboard,2014,Premier,CAST-A-WAY 221,"$26,995",2014
3171, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Silver Springs, NY",Premier,,Other,2009,Premier,225 SunSation LTD PTX,"$27,995",2009
3172, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Hewitt, NJ",Princecraft,,Other,2005,Princecraft,Vantage 22 L,"$13,995",2005
3173, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,22',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Platinum SE 227,Request,2017
3174, Aluminum Fish Boats,Power,,,Aluminum,Modified Vee,,22',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Platinum SE 227,Request,2017
3175, Bass Boats,Power,Gas,,Fiberglass,Other,,22',"Warwick, NY",Ranger,,Single Outboard,2016,Ranger,Z522D Comanche,"$59,000",2016
3176, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,22',"Watertown, NY",Sea Ray,,Other,2006,Sea Ray,215 Weekender,"$19,500",2006
3177, Cuddy Cabin,Power,Other,,Other,Other,,22',"N Tonawanda, NY",Sea Ray,,Other,1993,Sea Ray,22 WEEKENDER,Request,1993
3178, Deck Boats,Power,Other,,Other,Other,,22',"N Tonawanda, NY",Sea Ray,,Other,2017,Sea Ray,220,Request,2017
3179, Deck Boats,Power,Other,,Fiberglass,Other,,22',"Queensbury, NY",Sea Ray,,Other,2017,Sea Ray,220 SDX,Request,2017
3180, Deck Boats,Power,Other,,Other,Other,,22',"Brookfield, CT",Sea Ray,,Other,2017,Sea Ray,SDX 220 Outboard,Request,2017
3181, Bowrider,Power,Gas,220OB3014,Fiberglass,,,22',"Norwalk, CT",Sea Ray,,Single Inboard,2017,Sea Ray,SDX 220 OB,Request,2017
3182, Bowrider,Power,Other,,Fiberglass,Other,,22',"Alexandria Bay, NY",Sea Ray,,Other,2016,Sea Ray,220' Sundeck OB,"$64,351",2016
3183, Bowrider,Power,Other,,Other,Other,,22',"Ashville, NY",Sea Ray,,Other,2016,Sea Ray,220 Sundeck,Request,2016
3184, Runabouts,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Island Park, NY",Sea Ray,,Other,2013,Sea Ray,220 Sundeck,"$46,700",2013
3185, Ski and Wakeboard Boats,Power,Other,,Other,Other,,22',"Brookfield, CT",Sea Ray,,Other,2010,Sea Ray,220 Sundeck Boat,"$34,995",2010
3186, Bowrider,Power,Gas,,Fiberglass,,,22',"Brookfield, CT",Sea Ray,,Other,2004,Sea Ray,SunDeck 220,"$27,995",2004
3187, Bowrider,Power,Gas,,Fiberglass,Deep Vee,,22',"Quakertown,, PA",Sea Ray,,Other,2003,Sea Ray,220 Sundeck,"$19,995",2003
3188, Bowrider,Power,Gas,,Fiberglass,,,22',"West Haverstraw, NY",Sea Ray,,Other,1995,Sea Ray,220,"$12,900",1995
3189, Cuddy Cabin,Power,Gas,,Fiberglass,,,22',"Lake George, NY",Sea Ray,,Other,1989,Sea Ray,220,"$7,900",1989
3190, Cuddy Cabin,Power,Gas,,Fiberglass,,,22',"City Island, NY",Sea Ray,,Other,1989,Sea Ray,220 Overnighter,"$4,995",1989
3191, Cruisers,Power,Gas,,Fiberglass,Modified Vee,,22',"City Island, NY",Sea Ray,,Other,2002,Sea Ray,225 Weekender,"$21,750",2002
3192," Unspecified, Other",Power,Gas,,Other,Other,,22',"Ossining, NY",Sea Ray,,Other,2001,Sea Ray,Weekender 225,"$14,000",2001
3193, Cuddy Cabin,Power,Gas,,Fiberglass,,,22',"Lake George, NY",Sea Ray,,Other,1983,Sea Ray,225cc,"$5,900",1983
3194, Express Cruiser,Power,Gas,,Fiberglass,,,22',"Long Island, NY",Sea Ray,,Other,2005,Sea Ray,Weekender,"$16,900",2005
3195," Unspecified, Other",Power,Gas,,Other,Other,,22',"Lehighton, PA",Regal,,Other,1994,Regal,Ventura 6.8,"$13,850",1994
3196, Bowrider,Power,Other,,Other,Other,,22',"Rochester, NY",Rinker,,Other,2012,Rinker,216 Captiva,"$37,995",2012
3197," Freshwater Fishing, Center Consoles",Power,,,Fiberglass,,,22',"Tonawanda, NY",Robalo,,Other,2016,Robalo,2220 Center Console,"$52,896",2016
3198," Dual Console, Bowrider",Power,Gas,ROBL0123H617,Fiberglass,,,22',"Sodus Point, NY",Robalo,,Other,2017,Robalo,R227,Request,2017
3199, Bowrider,Power,Gas,ROBL0184K516,Fiberglass,,,22',"Sodus Point, NY",Robalo,,Other,2016,Robalo,R227,"$49,900",2016
3200, Center Consoles,Power,,,Fiberglass,,,22',"Island Park, NY",Sailfish,,Other,2018,Sailfish,220 CC,Request,2018
3201, Center Consoles,Power,Gas,,Fiberglass,Other,,22',"Malvern, PA",Scout,,Single Outboard,2010,Scout,Dorado 222,"$39,000",2010
3202, Dual Console,Power,,,Fiberglass,Other,,22',"Greenwich, CT",Scout,,Other,2005,Scout,222 dorado,"$26,000",2005
3203, Walkarounds,Power,Gas,,Fiberglass,Other,,22',"Bethpage, NY",Scout,,Single Outboard,2004,Scout,222 Abaco,"$26,500",2004
3204, Jet Boats,Power,Gas,,Aluminum,,,22',"Middletown, PA",SeaArk,,Other,2017,SeaArk,Predator,Request,2017
3205, Daysailers,Sails,,SFR0XX95M75L,Fiberglass,,,22',"Oceanside, NY",Seafarer,,Other,1975,Seafarer,22,"$1,995",1975
3206, Freshwater Fishing,Power,,,Fiberglass,Deep Vee,,22',"Seaford, NY",Shamrock,,Other,2002,Shamrock,22 Walk Around,"$16,990",2002
3207, Walkarounds,Power,,,Fiberglass,Other,,22',"Shark River, NJ",Shamrock,,Other,1996,Shamrock,22 Predator,"$9,500",1996
3208, Center Consoles,Power,,,Fiberglass,,,22',Freeport,Shamrock,,Other,2000,Shamrock,220 Open,"$24,500",2000
3209," Runabouts, Antique and Classics",Power,Gas,,Wood,,,22',"Brookfield, CT",Shepherd,,Single Inboard,1958,Shepherd,Chris Craft Runabout,"$49,995",1958
3210, Bay Boats,Power,Gas,,Composite,Modified Vee,,22',"Bloomsburg, PA",Skeeter,,Single Outboard,2016,Skeeter,SX-210,"$49,995",2016
3211, Deck Boats,Power,Other,,Fiberglass,Other,,22',"Ticonderoga, NY",SouthWind,,Other,2009,SouthWind,229L,"$10,000",2009
3212, Walkarounds,Power,Gas,,Fiberglass,Other,,22',"Ramsey, NJ",Sportcraft,,Single Inboard,2000,Sportcraft,221 Walkaround,"$7,500",2000
3213," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,,,22',"Seaford, NY",Sportsman,,Other,2013,Sportsman,236 HERITAGE,"$44,990",2013
3214, Cuddy Cabin,Power,Gas,,Fiberglass,Deep Vee,,22',"Hawley, PA",Stingray,,Other,2017,Stingray,215CR,Request,2017
3215, Bowrider,Power,Gas,,Fiberglass,Deep Vee,,22',"Hawley, PA",Stingray,,Other,2017,Stingray,215LR,Request,2017
3216, Cuddy Cabin,Power,,,Fiberglass,,,22',"Cicero, NY",Stingray,,Other,2007,Stingray,220 SX,"$19,995",2007
3217, Cruisers,Power,Gas,,Fiberglass,Deep Vee,,22',"Silver Springs, NY",Stingray,,Other,2000,Stingray,220CS/CX,"$13,995",2000
3218," Unspecified, Other",Power,Other,,Other,Other,,22',"Saratoga Springs, NY",Stingray,,Other,2012,Stingray,225 CR,"$38,900",2012
3219, Pontoon Boats,Power,Other,,Aluminum,Other,,22',"Rochester, NY",Sun Tracker,,Other,2017,Sun Tracker,Fishin' Barge 22 DLX,"$22,995",2017
3220, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Burnt Hills, NY",Sun Tracker,,Single Outboard,2014,Sun Tracker,Party Barge 22 DLX,"$25,900",2014
3221, Pontoon Boats,Power,,,Aluminum,,,22',"Wrightsville, PA",Sun Tracker,,Other,2005,Sun Tracker,PARTY BARGE,"$8,995",2005
3222, Ski and Wakeboard Boats,Power,Other,,Other,Other,,22',"Brookfield, CT",Supra,,Other,2007,Supra,Sunsport 22 V,"$29,995",2007
3223, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Burnt Hills, NY",Sweetwater,,Single Outboard,2017,Sweetwater,SW 215 C,"$43,934",2017
3224, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Quakertown,, PA",Sweetwater,,Single Outboard,2017,Sweetwater,SWPE 215 C,"$23,924",2017
3225, Pontoon Boats,Power,Gas,GDY4001WA606,Aluminum,,,22',"Hesston, PA",Sweetwater,,Single Outboard,2006,Sweetwater,2186 FS,Request,2006
3226," Pontoon Boats, Deck Boats",Power,,,Aluminum,Other,,22',"Middletown, PA",Sweetwater /tracker,,Other,2015,Sweetwater /tracker,22,Request,2015
3227, Pontoon Boats,Power,Gas,GDY5120WC505,Aluminum,Pontoon,,22',"Harrisburg, PA",Sweetwater,,Other,2005,Sweetwater,2222 DF,"$14,995",2005
3228, Pontoon Boats,Power,Gas,,Aluminum,,,22',"Brookfield, CT",Sweetwater,,Single Outboard,2018,Sweetwater,SW 2286 SB,Request,2018
3229, Pontoon Boats,Power,Gas,,Aluminum,,,22',"Brookfield, CT",Sweetwater,,Single Outboard,2018,Sweetwater,SW 2286 C,Request,2018
3230, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Burnt Hills, NY",Sweetwater,,Single Outboard,2017,Sweetwater,2286 SB,"$39,566",2017
3231, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Burnt Hills, NY",Sweetwater,,Single Outboard,2017,Sweetwater,2286 C,"$32,818",2017
3232, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Burnt Hills, NY",Sweetwater,,Single Outboard,2016,Sweetwater,SW 2286 FC,"$35,639",2016
3233, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Burnt Hills, NY",Sweetwater,,Single Outboard,2016,Sweetwater,SW 2286,"$39,417",2016
3234, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,22',"Duncannon, PA",Sweetwater,,Single Outboard,2016,Sweetwater,SW 2286 BF,Request,2016
3235, Pontoon Boats,Power,,,Aluminum,,,22',"Mayfield, NY",Sylvan,,Other,2017,Sylvan,8522 Mirage Cruise,"$38,200",2017
3236, Pontoon Boats,Power,,,Aluminum,,,22',"Mayfield, NY",Sylvan,,Other,2017,Sylvan,8522 Mirage Cruise,"$41,200",2017
3237, Pontoon Boats,Power,,,Aluminum,,,22',"Mayfield, NY",Sylvan,,Other,2017,Sylvan,8522 Mirage Cruise,"$41,200",2017
3238, Pontoon Boats,Power,,,Aluminum,,,22',"Schroon Lake, NY",Sylvan,,Other,2017,Sylvan,Mirage 8522 CRS SG,"$34,500",2017
3239, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,99 year,22',"Schroon Lake, NY",Sylvan,,Single Outboard,2017,Sylvan,Mirage 8522 LZ Port Bar,"$49,670",2017
3240, Other,Power,Gas,BUJA64TNA404,Fiberglass,,,22',"New Windsor, NY",Tahoe,,Other,2004,Tahoe,222 deck boat,"$17,900",2004
3241, Bowrider,Power,Other,,Fiberglass,Other,,22',"Schnectady, NY",Tahoe,,Other,2011,Tahoe,228,"$29,995",2011
3242, Center Consoles,Power,Gas,,Fiberglass,,,22',"Seaford, NY",Tidewater,,Other,2018,Tidewater,220 LXF,Request,2018
3243, Center Consoles,Power,Gas,,Fiberglass,,,22',"Seaford, NY",Tidewater,,Single Outboard,2017,Tidewater,LXF 220,"$57,990",2017
3244, Ski and Wakeboard Boats,Power,Gas,,Other,Other,,22',"Lake Placid, NY",Toyota,,Single Inboard,1999,Toyota,X22,"$22,000",1999
3245, Center Consoles,Power,,,Fiberglass,,,22',"Falmouth, MA",Tripp,,Other,1989,Tripp,Angler,"$23,000",1989
3246," Tender, Dinghies",Small Boats,Other,47GA,Aluminum,Other,,22',"Tonawanda, NY",Venture,,Other,2017,Venture,VATB-5225,"$2,850",2017
3247, Tender,Small Boats,,IN STOCK,Aluminum,,,22',"Tonawanda, NY",Venture,,Other,2015,Venture,COM-5300,"$3,590",2015
3248," Unspecified, Other",Power,Gas,,Other,Other,,22',"Bridgeport, CT",Wellcraft,,Other,2002,Wellcraft,22,"$19,995",2002
3249," Unspecified, Other",Power,Other,,Other,Other,,22',"Henderson, NY",Wellcraft,,Other,1999,Wellcraft,22 Walkaround,"$15,900",1999
3250, High Performance Boats,Power,Gas,,Fiberglass,,,22',"Trenton, NJ",Wellcraft,,Other,1995,Wellcraft,22 Scarab,"$14,995",1995
3251, Center Consoles,Power,Other,,Fiberglass,Other,,22',"Rochester, NY",Wellcraft,,Other,2017,Wellcraft,222 Fisherman,Request,2017
3252, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Endicott, NY",Crestliner,,Other,2017,Crestliner,2150 Sportfish Outboard,Request,2017
3253, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Auburn, NY",Crestliner,,Other,2017,Crestliner,2150 Sportfish Outboard,Request,2017
3254, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Dallas, PA",Crestliner,,Other,2017,Crestliner,2150 Sportfish Outboard,Request,2017
3255, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,2150 Sportfish Outboard,Request,2017
3256, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,2150 Sportfish Outboard,Request,2017
3257, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"North East, MD",Crestliner,,Other,2017,Crestliner,2150 Sportfish Outboard,Request,2017
3258," Center Consoles, Skiff",Power,Gas,,Fiberglass,,,22',"West Haverstraw, NY",Key West,,Single Outboard,2017,Key West,219fs,Request,2017
3259, Ski and Fish,Power,Gas,,Fiberglass,,,22',"Lake George, NY",Lund,,Twin Outboard,2017,Lund,Pro-V GL 219 Sport,Request,2017
3260, Ski and Wakeboard Boats,Power,Gas,,Fiberglass,,,22',"Elkton, MD",Malibu,,Single Inboard,2017,Malibu,Wakesetter 22 MXZ,Request,2017
3261," Deck Boats, Bowrider",Power,Gas,,Fiberglass,Modified Vee,5 year,22',"Mahopac, NY",Stingray,,Other,2018,Stingray,212 SC,Request,2018
3262, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,5 year,22',"Cicero, NY",Stingray,,Single Outboard,2017,Stingray,212 SC,"$37,995",2017
3263, Pontoon Boats,Power,,BUJ49036H718,Aluminum,Pontoon,,22',"Rochester, NY",Sun Tracker,"

Base Price: $21,495
Prep: $475
Freight: $1,050
Your Price: $23,020

",Single Outboard,2018,Sun Tracker,Party Barge 20 DLX,"$23,020",2018
3264, Pontoon Boats,Power,,BUJ45501G718,Aluminum,Pontoon,,22',"Grand Island, NY",Sun Tracker,"

Base Price: $21,495
Prep: $475
Freight: $1,050
Your Price: $23,020

",Single Outboard,2018,Sun Tracker,Party Barge 20 DLX,"$23,020",2018
3265, Pontoon Boats,Power,,BUJ49389H718,Aluminum,Pontoon,,22',"Lake Hopatcong, NJ",Sun Tracker,"

Base Price: $21,495
Included Options: $250
Prep: $475
Freight: $1,050
Your Price: $23,270

",Single Outboard,2018,Sun Tracker,Party Barge 20 DLX,"$23,270",2018
3266, Pontoon Boats,Power,,BUJ43240F718,Aluminum,Pontoon,,22',"Temple, PA",Sun Tracker,"

Base Price: $21,495
Prep: $475
Freight: $1,050
Your Price: $23,020

",Single Outboard,2018,Sun Tracker,Fishin' Barge 20 DLX,"$23,020",2018
3267, Pontoon Boats,Power,,BUJ49208H718,Aluminum,Pontoon,,22',"Temple, PA",Sun Tracker,"

Base Price: $19,395
Included Options: $4,030
Prep: $475
Freight: $1,050
Your Price: $24,950

",Single Outboard,2018,Sun Tracker,Party Barge 20 DLX,"$24,950",2018
3268, Pontoon Boats,Power,,BUJ44119F718,Aluminum,Pontoon,,22',"Temple, PA",Sun Tracker,,Single Outboard,2018,Sun Tracker,Party Barge 20 DLX,Request,2018
3269, Pontoon Boats,Power,Gas,BUJ48149H718,Aluminum,Pontoon,99 year,22',"Harrisburg, PA",Sun Tracker,"

Base Price: $19,395
Included Options: $2,895
Prep: $475
Freight: $1,050
Your Price: $23,815

",Other,2018,Sun Tracker,Party Barge 20 DLX,"$23,815",2018
3270, Pontoon Boats,Power,,BUJ47498G718,Aluminum,Pontoon,,22',"Morristown, NY",Sun Tracker,"

Base Price: $21,495
Included Options: $3,145
Prep: $475
Freight: $1,050
Your Price: $26,165

",Single Outboard,2018,Sun Tracker,Party Barge 20 DLX,"$26,165",2018
3271, Pontoon Boats,Power,,BUJ45170J617,Aluminum,Pontoon,,22',"Utica, NY",Sun Tracker,"

Base Price: $21,095
Included Options: $2,840
Prep: $475
Freight: $1,050
Your Price: $25,460

",Single Outboard,2017,Sun Tracker,Fishin' Barge 20 DLX,"$25,460",2017
3272, Pontoon Boats,Power,,BUJ21873E717,Aluminum,Pontoon,,22',"Temple, PA",Sun Tracker,"

Cover, single axle trailer no brakes and 60elpt CT motor.
Base Price: $17,995
Included Options: $2,475
Prep: $475
Freight: $1,050
Your Price: $21,995

",Single Outboard,2017,Sun Tracker,Fishin' Barge 20 DLX,"$21,995",2017
3273, Pontoon Boats,Power,Gas,FRU35545C617,Aluminum,Pontoon,,22',"Hesston, PA",South Bay,,Single Outboard,2017,South Bay,222RS 2.0,Request,2017
3274, Pontoon Boats,Power,Gas,FRU37799C717,Aluminum,Pontoon,,22',"Brant Lake, NY",South Bay,,Single Outboard,2017,South Bay,222 RS,"$38,315",2017
3275, Pontoon Boats,Power,,FRU37803C717,Aluminum,Pontoon,,22',"Brant Lake, NY",South Bay,,Single Outboard,2017,South Bay,222 CR,"$35,830",2017
3276, Pontoon Boats,Power,Gas,FRU37829C717,Aluminum,Pontoon,,22',"Brant Lake, NY",South Bay,,Single Outboard,2017,South Bay,222 CR,"$36,922",2017
3277," Ski and Wakeboard Boats, Bowrider",Power,Gas,US-MB2K9798F617,Fiberglass,Modified Vee,,22',"Elkton, MD",Malibu Boats,,Single Inboard,2017,Malibu Boats,Wakesetter 22 VLX,Request,2017
3278," Bowrider, Ski and Wakeboard Boats",Power,Gas,US-MB2K3201C717,Fiberglass,Modified Vee,,22',"Elkton, MD",Malibu Boats,,Single Inboard,2017,Malibu Boats,Wakesetter 22 VLX,Request,2017
3279," Ski and Wakeboard Boats, Bowrider",Power,Gas,US-MB2K1379H617,Ferro cement,Foldable,,22',"Elkton, MD",Malibu Boats,,Single Inboard,2017,Malibu Boats,Wakesetter 22 VLX,Request,2017
3280," Ski and Wakeboard Boats, Bowrider",Power,Gas,US-MB2K7397J516,Fiberglass,Modified Vee,,22',"Elkton, MD",Malibu Boats,,Single Inboard,2016,Malibu Boats,Wakesetter 22 VLX,Request,2016
3281, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Endicott, NY",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3282, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Canandaigua, NY",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3283, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Brewerton, NY",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3284, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"New York Mills, NY",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3285, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Cape Vincent, NY",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3286, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Lake Hopatcong, NJ",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3287, Aluminum Fish Boats,Power,,,Aluminum,Deep Vee,99 year,22',"Holmes, PA",Lund,,Other,2017,Lund,2175 Pro-V,Request,2017
3288, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Schroon Lake, NY",Starcraft,,Single Outboard,2018,Starcraft,MDX 210 OB,Request,2018
3289, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,99 year,22',"Middletown, PA",Starcraft,,Single Outboard,2018,Starcraft,MDX 211 OB,Request,2018
